query,intent
"I want to lose weight",diet_plan
"Give me a diet for muscle gain",diet_plan
"I need a keto meal plan",diet_plan
"What should a vegetarian eat for dinner?",diet_plan
"Recommend a vegan diet",diet_plan
"I want a meal plan to bulk up",diet_plan
"Can you suggest a diet for cutting fat?",diet_plan
"I need a high protein vegetarian diet",diet_plan
"What is a good diet for a beginner?",diet_plan
"Show me a non-veg meal plan",diet_plan
"I need a dairy-free meal plan",diet_plan
"Give me a diet with no onion or garlic",diet_plan
"Suggest a 2000 calorie diet",diet_plan
"What should I eat to get lean?",diet_plan
"Meal plan for gaining mass",diet_plan
"I have diabetes what is a good diet",diet_plan
"PCOS friendly meal plan",diet_plan
"Diet for high blood pressure",diet_plan
"What should I eat if I have high cholesterol?",diet_plan
"Need a cheap diet plan",diet_plan
"Budget friendly muscle gain diet",diet_plan
"What should a student eat for protein?",diet_plan
"Give me a 7 day meal plan",diet_plan
"What is a good diet for a teenager?",diet_plan
"I need to cut 10 pounds fast",diet_plan
"Meal plan for a marathon runner",diet_plan
"How to eat to build big arms",diet_plan
"What should I eat to get a six pack?",diet_plan
"Show me a low carb diet",diet_plan
"I want to do intermittent fasting meals",diet_plan
"How many calories are in an egg?",diet_info
"Is rice good for bulking?",diet_info
"What is the best pre-workout meal?",diet_info
"How much protein is in chicken breast?",diet_info
"Are carbs bad for weight loss?",diet_info
"What should I eat after a workout?",diet_info
"Is whey protein necessary?",diet_info
"Tell me the macros for a banana",diet_info
"Are almonds good for fat loss?",diet_info
"What is intermittent fasting?",diet_info
"How many meals should I eat a day?",diet_info
"Is oatmeal a good breakfast?",diet_info
"Does creatine make you fat?",diet_info
"Is it bad to eat before bed?",diet_info
"How much water should I drink?",diet_info
"Are egg yolks bad for you?",diet_info
"What is a good source of healthy fats?",diet_info
"Is peanut butter good for bulking?",diet_info
"How many calories should I eat to lose weight?",diet_info
"What are macros?",diet_info
"Do I need to track calories?",diet_info
"Is soy protein bad for men?",diet_info
"What is the glycemic index?",diet_info
"Are potatoes better than rice?",diet_info
"Can I drink coffee before a workout?",diet_info
"Is milk good for gaining weight?",diet_info
"Suggest a workout for beginners",workout_recommendation
"I need a chest workout",workout_recommendation
"What is a good leg day routine?",workout_recommendation
"Give me a full body workout",workout_recommendation
"Recommend a push day routine",workout_recommendation
"What should I do for back and biceps?",workout_recommendation
"Suggest an ab workout",workout_recommendation
"I want to build my shoulders",workout_recommendation
"Give me a 3-day split routine",workout_recommendation
"What is a good workout for weight loss?",workout_recommendation
"Recommend a hypertrophy program",workout_recommendation
"I need a quick 20 minute home workout",workout_recommendation
"What exercises grow the glutes?",workout_recommendation
"Give me a dumbbell only workout",workout_recommendation
"I want to increase my bench press",workout_recommendation
"Bro split vs PPL",workout_recommendation
"Give me a 5 day workout split",workout_recommendation
"How to get a bigger chest",workout_recommendation
"What is the best back workout?",workout_recommendation
"Exercises for wider shoulders",workout_recommendation
"How to build big calves",workout_recommendation
"Workout for a 40 year old man",workout_recommendation
"Cardio routine for fat loss",workout_recommendation
"HIIT workout suggestions",workout_recommendation
"Give me a calisthenics routine",workout_recommendation
"How to get better at pullups",workout_recommendation
"Upper lower split routine",workout_recommendation
"Bodyweight exercises for chest",workout_recommendation
"I only have 30 minutes to workout",workout_recommendation
"Suggest a routine for a woman",workout_recommendation
"How to tone my arms",workout_recommendation
"Log my bench press",log_workout
"Record 3 sets of squats",log_workout
"I just finished 30 minutes of cardio",log_workout
"Track my workout",log_workout
"Save my deadlift max",log_workout
"I did 4 sets of 12 reps on cable flys",log_workout
"Mark my pull workout as complete",log_workout
"I ran for 5 miles today",log_workout
"Log 50 pushups",log_workout
"Track my leg day",log_workout
"Record that I missed my workout today",log_workout
"Save my new PR on squat",log_workout
"I want to track my calories for today",log_workout
"Save my workout",log_workout
"Record 100 kg deadlift",log_workout
"I completed my push day",log_workout
"Log 5 sets of bench",log_workout
"Track 20 minutes on the treadmill",log_workout
"Save today's session",log_workout
"I burned 400 calories today",log_workout
"Mark today as a rest day",log_workout
"I did yoga for an hour",log_workout
"Record my bicep curls",log_workout
"Track my macros",log_workout
"Log my breakfast",log_workout
"My knee hurts when I squat",injury_advice
"I have asthma what should I do",injury_advice
"Lower back pain after deadlifts",injury_advice
"How to workout with a shoulder impingement",injury_advice
"Modify my workout for an elbow injury",injury_advice
"I sprained my ankle",injury_advice
"Need exercises for a bad back",injury_advice
"My wrists hurt when I do pushups",injury_advice
"I have a torn ACL how do I train legs",injury_advice
"What cardio is safe for bad knees?",injury_advice
"I have high blood pressure what should I avoid?",injury_advice
"Modify my plan for a rotator cuff tear",injury_advice
"I am recovering from a broken arm",injury_advice
"How to train around tennis elbow",injury_advice
"Is it safe to lift with sciatica?",injury_advice
"Alternative to squats for bad knees",injury_advice
"I pulled my hamstring sprinting",injury_advice
"My shin splints are flaring up",injury_advice
"Modifications for a herniated disc",injury_advice
"I have a heart condition what is safe?",injury_advice
"How to rehab a rolled ankle",injury_advice
"Neck pain after overhead press",injury_advice
"I feel a sharp pain in my bicep tendon",injury_advice
"What to do for hip flexor pain?",injury_advice
"I have a slight groin pull",injury_advice
"Is swimming good for joint pain?",injury_advice
"How to train with plantar fasciitis",injury_advice
"My lower back is tight",injury_advice
"I have osteoporosis is lifting safe",injury_advice
"Can I workout with arthritis",injury_advice
"Exercises to avoid with a hernia",injury_advice
"How to train if I have GERD",injury_advice
"Workout modifications for pregnant women",injury_advice
