Age,Height (cm),Weight (kg),BMI,Disease,Injury,Focus Goals,Profile Level,Gender,Day 1 - Sunday,Day 2 - Monday,Day 3 - Tuesday,Day 4 - Wednesday,Day 5 - Thursday,Day 6 - Friday,Day 7 - Saturday
50,176.2,99.7,32.11,Regular,Regular,Fat Loss,Beginner,Male,Rest & Recovery,"Decline Push-Ups, Diamond Push-Ups, Incline Dumbbell Press","Barbell Squat, Romanian Deadlift, Leg Extension","T-Bar Row, Wide-Grip Lat Pulldown, Pull-Ups","Wood Chops, Box Jumps, Hanging Knee Raise","Russian Twists, Box Jumps, Bicycle Crunches","Band Pull-Apart, Front Raise, Barbell Bench Press"
21,181.1,66.1,20.15,Regular,Regular,Muscle Gain,Beginner,Male,Rest & Recovery,"Bulgarian Split Squat, Tricep Pushdown, Leg Press","Stretching Routine, Aqua Aerobics, Cable Crunch","Seated Cable Row, Hip Thrust, Glute Bridge","Ab Wheel Rollout, Dumbbell Lateral Raise, Leg Raises","Chest-Supported Row, Seated Calf Raise, EZ Bar Curl",Rest & Recovery
21,152.6,50.8,21.81,Regular,Tricep Injury,Muscle Gain,Intermediate,Female,"Leg Press, Seated Calf Raise, Seated Leg Curl","Box Jumps, Calf Raises, Glute Bridge","Inner Thigh Machine, Glute Bridge, Lying Quad Stretch","Step-Ups, Leg Extension, Calf Raises","Crunches, Leg Raises, Dragon Flag","Seated Calf Raise, Leg Curl, Bulgarian Split Squat",Rest & Recovery
65,159.1,85.5,33.78,Vitamin D Deficiency,Tailbone Pain,Fat Loss,Advance,Female,"Machine Chest Press, Lat Pulldown, Leg Press, Face Pulls","Seated Leg Curl, Lying Glute Bridge, Hip Abduction Machine, Leg Press","Seated Lat Pulldown, Seated Arnold Press, Seated Tricep Extension, Seated Shoulder Press","Leg Press, Machine Chest Press, Seated Cable Row, Seated Dumbbell Press","Side Plank, Crunches, Plank, Russian Twists","Breathing Exercises, Tricep Pushdown, Gentle Yoga, Elliptical Trainer 20min",Rest & Recovery
23,157.9,87.7,35.18,Regular,Elbow Injury,Fat Loss,Advance,Female,"Glute Bridge, Barbell Squat, Walking Lunges, Leg Press","Hack Squat, Romanian Deadlift, Box Jumps, Cable Kickback","Lying Quad Stretch, Supine Hamstring Stretch, Lying Hip Abduction, Seated Hip Flexor Stretch","Barbell Squat, Leg Press, Cable Kickback, Calf Raises","Flutter Kicks, Russian Twists, Mountain Climbers, Reverse Crunch","Bulgarian Split Squat, Glute Bridge, Barbell Squat, Seated Calf Raise",Rest & Recovery
56,165.4,54.0,19.74,High Cholesterol,Regular,Maintenance,Advance,Female,Rest & Recovery,"Concentration Curl, EZ Bar Curl, Push-Ups, Cable Chest Fly","Step-Ups, Bulgarian Split Squat, Cable Kickback, Donkey Kicks","Plank, Brisk Walking 30min, Slow Jogging 15min, Side Plank","T-Bar Row, Overhead Shoulder Press, EZ Bar Curl, Chest-Supported Row","Leg Press, Lateral Band Walk, Bird Dog, Bulgarian Split Squat","Stationary Cycling 20min, Breathing Exercises, Slow Jogging 15min"
43,165.8,105.9,38.52,PCOS,Regular,Fat Loss,Intermediate,Male,Rest & Recovery,"Tricep Pushdown, Front Raise, Tricep Overhead Extension","Hip Thrust, Box Jumps, Step-Ups","Machine Row, Wide-Grip Lat Pulldown, EZ Bar Curl","Leg Curl, Lateral Band Walk, Glute Bridge","HIIT Sprints, Plank, Treadmill Running 20min","Band Pull-Apart, Wide-Grip Lat Pulldown, Dips"
37,161.5,79.0,30.29,Regular,Regular,Fat Loss,Intermediate,Male,Rest & Recovery,"Decline Push-Ups, Cable Lateral Raise, Skull Crushers","Calf Raises, Lateral Band Walk, Leg Extension","Reverse Fly, Dumbbell Row, Chest-Supported Row","Lateral Band Walk, Flutter Kicks, Dead Bug","High Knees, Rowing Machine 15min, Hollow Body Hold","Incline Dumbbell Row, Bent-Over Barbell Row, T-Bar Row"
37,150.0,56.1,24.93,IBS,Calf Injury,Maintenance,Beginner,Female,"Overhead Shoulder Press, Skull Crushers, Tricep Pushdown","Rear Delt Fly, Reverse Fly, Machine Row","Bicycle Crunches, Reverse Crunch, Leg Raises","Front Raise, Hammer Curl, Machine Chest Press","Seated Cable Row, Chest-Supported Row, Seated Face Pulls","Rear Delt Fly, Bent-Over Barbell Row, Hanging Knee Raise",Rest & Recovery
29,163.7,73.2,27.32,Muscle Weakness,Regular,Maintenance,Advance,Male,Rest & Recovery,"Rear Delt Fly, Overhead Shoulder Press, Dumbbell Chest Press, Face Pulls","Barbell Squat, Box Jumps, Calf Raises, Glute Bridge","Pallof Press, Breathing Exercises, Slow Jogging 15min, Mountain Climbers","Cable Bicep Curl, Band Pull-Apart, Concentration Curl, Bent-Over Barbell Row","Dragon Flag, Hanging Knee Raise, Leg Press, Plank","Brisk Walking 30min, Slow Jogging 15min, Aqua Aerobics"
27,167.2,46.6,16.67,Regular,Regular,Muscle Gain,Advance,Female,Rest & Recovery,"Decline Push-Ups, Tricep Overhead Extension, Skull Crushers, Push-Ups","Bent-Over Barbell Row, Band Pull-Apart, T-Bar Row, Lat Pulldown","Wall Sit, Romanian Deadlift, Hack Squat, Donkey Kicks","Dumbbell Chest Press, Close-Grip Bench Press, Tricep Pushdown, Tricep Overhead Extension","Chest-Supported Row, Wide-Grip Lat Pulldown, Leg Raises, Incline Dumbbell Row","Hip Thrust, Glute Bridge, Sumo Deadlift, Romanian Deadlift"
24,171.8,70.1,23.75,Regular,Regular,Muscle Gain,Advance,Male,Rest & Recovery,"Incline Dumbbell Fly, Decline Push-Ups, Skull Crushers, Tricep Overhead Extension","Barbell Bicep Curl, Face Pulls, Machine Row, EZ Bar Curl","Wall Sit, Donkey Kicks, Barbell Squat, Hip Thrust","Overhead Shoulder Press, Dumbbell Lateral Raise, Close-Grip Bench Press, Tricep Overhead Extension","Rear Delt Fly, Wood Chops, Barbell Bicep Curl, Reverse Fly","Hip Thrust, Leg Extension, Sumo Deadlift, Seated Calf Raise"
33,149.8,53.5,23.84,Muscle Weakness,Regular,Muscle Gain,Beginner,Female,Rest & Recovery,"Decline Push-Ups, Barbell Bench Press, Romanian Deadlift","Light Swimming, Nordic Walking, Cable Crunch","Hammer Curl, Calf Raises, Lateral Band Walk","Skull Crushers, Machine Chest Press, Plank","Leg Curl, Walking Lunges, Hip Thrust",Rest & Recovery
18,162.8,69.1,26.07,Regular,Regular,Maintenance,Intermediate,Male,Rest & Recovery,"Bent-Over Barbell Row, Diamond Push-Ups, Machine Chest Press","Leg Press, Step-Ups, Cable Kickback","Low-Impact Aerobics, Mountain Climbers, Wood Chops","Hammer Curl, Preacher Curl, Tricep Pushdown","Goblet Squat, Step-Ups, Side Plank","Low-Impact Aerobics, Nordic Walking, Elliptical Trainer 20min"
45,165.2,71.7,26.27,Regular,Regular,Fat Loss,Intermediate,Female,Rest & Recovery,"Incline Dumbbell Fly, Cable Chest Fly, Skull Crushers","Leg Curl, Barbell Squat, Leg Extension","Cable Bicep Curl, Hammer Curl, Incline Dumbbell Row","Walking Lunges, Cable Kickback, Crunches","Flutter Kicks, Dead Bug, Crunches","Chest-Supported Row, Seated Cable Row, Incline Dumbbell Press"
38,160.8,75.7,29.28,Anxiety,Regular,Maintenance,Beginner,Male,Rest & Recovery,"Lat Pulldown, Incline Dumbbell Row, EZ Bar Curl","Donkey Kicks, Leg Press, Box Jumps","V-Ups, Bird Dog, Crunches","Skull Crushers, Pull-Ups, Diamond Push-Ups","Hanging Knee Raise, Box Jumps, Russian Twists","Low-Impact Aerobics, Stationary Cycling 20min, Stretching Routine"
41,154.2,53.2,22.37,Regular,Shoulder Injury,Muscle Gain,Beginner,Female,"Goblet Squat, Lying Hip Abduction, Seated Hip Flexor Stretch","Walking Lunges, Leg Extension, Hack Squat","Outer Thigh Machine, Glute Bridge, Lying Hip Abduction","Box Jumps, Cable Kickback, Barbell Squat","Mountain Climbers, Decline Sit-Ups, Dead Bug","Hack Squat, Inner Thigh Machine, Seated Calf Raise",Rest & Recovery
63,157.5,63.0,25.4,Regular,Elbow Injury,Muscle Gain,Intermediate,Female,"Glute Bridge, Barbell Squat, Seated Leg Curl","Hip Thrust, Donkey Kicks, Sumo Deadlift","Seated Leg Curl, Seated Calf Raise, Lying Hip Abduction","Leg Curl, Leg Extension, Walking Lunges","Plank, Side Plank, Ab Wheel Rollout","Lateral Band Walk, Wall Sit, Supine Hamstring Stretch",Rest & Recovery
41,175.8,67.2,21.74,Depression,Regular,Muscle Gain,Advance,Male,Rest & Recovery,"Skull Crushers, Dumbbell Lateral Raise, Barbell Bench Press, Overhead Shoulder Press","Concentration Curl, T-Bar Row, Face Pulls, Wide-Grip Lat Pulldown","Glute Bridge, Goblet Squat, Cable Kickback, Leg Curl","Overhead Shoulder Press, Dips, Dumbbell Lateral Raise, Front Raise","Reverse Crunch, Wood Chops, Pallof Press, Plank","Glute Bridge, Donkey Kicks, Hack Squat, Wall Sit"
65,165.4,73.3,26.79,Regular,Sprained Wrist,Muscle Gain,Intermediate,Male,"Romanian Deadlift, Seated Hip Flexor Stretch, Supine Hamstring Stretch","Leg Curl, Calf Raises, Glute Bridge","Seated Leg Curl, Lying Hip Abduction, Seated Calf Raise","Calf Raises, Sumo Deadlift, Seated Calf Raise","Dragon Flag, Crunches, Bicycle Crunches","Walking Lunges, Leg Curl, Box Jumps",Rest & Recovery
29,171.9,68.0,23.01,Regular,Regular,Muscle Gain,Beginner,Male,Rest & Recovery,"Leg Curl, Bulgarian Split Squat, Seated Calf Raise","Slow Jogging 15min, Brisk Walking 30min, Pallof Press","Walking Lunges, Sumo Deadlift, Pull-Ups","Decline Push-Ups, Decline Sit-Ups, Dumbbell Lateral Raise","Rear Delt Fly, Machine Row, Band Pull-Apart",Rest & Recovery
41,168.6,74.1,26.07,Diabetes,Regular,Muscle Gain,Beginner,Male,Rest & Recovery,"Dumbbell Chest Press, Sumo Deadlift, Close-Grip Bench Press","Aqua Aerobics, Gentle Yoga, Plank","Bulgarian Split Squat, Cable Kickback, Donkey Kicks","Side Plank, Leg Raises, Skull Crushers","Calf Raises, Barbell Bicep Curl, Step-Ups",Rest & Recovery
33,167.4,106.1,37.86,Regular,Regular,Fat Loss,Beginner,Male,Rest & Recovery,"Diamond Push-Ups, Close-Grip Bench Press, Decline Push-Ups","Lateral Band Walk, Barbell Squat, Cable Kickback","Lat Pulldown, Preacher Curl, T-Bar Row","Walking Lunges, Romanian Deadlift, Goblet Squat","Box Jumps, High Knees, Bird Dog","Incline Dumbbell Press, Cable Chest Fly, Machine Chest Press"
26,175.4,76.4,24.83,Regular,Regular,Muscle Gain,Beginner,Male,Rest & Recovery,"Wall Sit, Skull Crushers, Dumbbell Chest Press","Yoga 30min, Stationary Cycling 20min, Pallof Press","Lat Pulldown, EZ Bar Curl, Donkey Kicks","Dumbbell Lateral Raise, Arnold Press, V-Ups","Walking Lunges, Reverse Fly, Lateral Band Walk",Rest & Recovery
52,177.7,77.1,24.42,Sleep Apnea,Toe Fracture,Muscle Gain,Beginner,Male,"Incline Dumbbell Press, Incline Dumbbell Fly, Diamond Push-Ups","Preacher Curl, Seated Cable Row, Wide-Grip Lat Pulldown","Flutter Kicks, Plank, Reverse Crunch","Cable Bicep Curl, Tricep Pushdown, Incline Dumbbell Row","Seated Tricep Extension, Cable Chest Fly, Chest-Supported Row","Barbell Bicep Curl, Ab Wheel Rollout, Preacher Curl",Rest & Recovery
53,157.3,61.5,24.86,Constipation,Arm Fracture,Muscle Gain,Advance,Female,"Lying Hip Abduction, Inner Thigh Machine, Seated Calf Raise, Seated Leg Curl","Calf Raises, Glute Bridge, Leg Curl, Seated Calf Raise","Lying Quad Stretch, Outer Thigh Machine, Inner Thigh Machine, Seated Leg Extension","Lateral Band Walk, Sumo Deadlift, Bulgarian Split Squat, Wall Sit","Dead Bug, Hollow Body Hold, Cable Crunch, Flutter Kicks","Calf Raises, Seated Hip Flexor Stretch, Wall Sit, Glute Bridge",Rest & Recovery
